data,ticker,comprado,close,ret
2026-09-17,CYRE3,1,25.68,-0.035312
2026-09-17,DIRR3,0,10.07,-0.000992
2026-09-17,ECOR3,1,8.2,-0.002433
2026-09-17,EGIE3,1,30.88,0.007504
2026-09-17,EMBJ3,1,95.3999,0.003358
2026-09-17,ENEV3,1,27.56,0.020741
2026-09-17,ENGI11,1,52.11,-0.001915
2026-09-17,EQTL3,1,39.17,-0.009859
2026-09-17,EZTC3,1,12.95,-0.029963
2026-09-17,FLRY3,1,21.45,0.004684
2026-09-17,GMAT3,1,4.93,0.006122
2026-09-17,GRND3,1,3.65,-0.013514
2026-09-17,HAPV3,0,6.39,-0.015408
2026-09-17,HYPE3,1,23.59,0.001699
2026-09-17,IGTI11,1,25.57,-0.011214
2026-09-17,IRBR3,1,60.98,0.003291
2026-09-17,ITSA4,1,14.17,-0.002113
2026-09-17,ITUB3,1,46.78,0.002357
2026-09-17,ITUB4,1,42.58,-0.000938
2026-09-17,JHSF3,1,11.33,-0.034923
2026-09-17,KLBN11,1,19.63,0.011856
2026-09-17,MBRF3,1,16.67,-0.019988
2026-09-17,MGLU3,1,5.79,-0.025253
2026-09-17,MOVI3,1,8.01,0.00125
2026-09-17,MRVE3,1,5.43,-0.049037
2026-09-17,MULT3,1,29.62,-0.014637
2026-09-17,ORVR3,0,16.92,0.000591
2026-09-17,PETR4,1,48.61,-0.000822
2026-09-17,POMO4,0,4.3,-0.050773
2026-09-17,PSSA3,0,49.42,-0.009023
2026-09-17,QUAL3,1,1.67,0.012121
2026-09-17,RAIL3,1,14.94,0.006061
2026-09-17,RAIZ4,0,0.27,-0.035714
2026-09-17,RAPT4,1,4.99,-0.019646
2026-09-17,RDOR3,1,37.13,-0.004024
2026-09-17,RECV3,1,11.22,0.016304
2026-09-17,RENT3,0,36.7,0.007135
2026-09-17,ROXO34,0,11.85,0.00937
2026-09-17,SBSP3,0,27.03,-0.002215
2026-09-17,SIMH3,1,7.41,-0.028834
2026-09-17,SLCE3,1,17.96,0.011831
2026-09-17,SMAL11,1,109.69,-0.00553
2026-09-17,SMFT3,0,16.93,-0.011098
2026-09-17,SUZB3,1,47.4,0.014989
2026-09-17,TAEE11,1,41.5,0.010962
2026-09-17,TIMS3,0,19.48,-0.005107
2026-09-17,TOTS3,1,34.65,0.011974
2026-09-17,USIM5,0,7.09,0.008535
2026-09-17,VALE3,0,74.51,0.020685
2026-09-17,VAMO3,1,3.35,0.006006
2026-09-17,VBBR3,1,39.0146,0.009473
2026-09-17,VIVA3,1,22.39,-0.014525
2026-09-17,VIVT3,0,30.9,0.006187
2026-09-17,WEGE3,1,50.9742,-0.0039
2026-09-17,WIZC3,0,7.9,-0.006289
2026-09-17,XPBR31,1,103.55,0.011626
2026-09-17,YDUQ3,1,10.41,0.030693
2026-09-18,ABEV3,1,15.3093,-0.010932
2026-09-18,ALOS3,1,28.87,0.020502
2026-09-18,AURA33,1,149.5,-0.014177
2026-09-18,AXIA3,1,53.8,-0.028881
2026-09-18,AZZA3,0,14.3,-0.034436
2026-09-18,BBAS3,1,23.2,0.018437
2026-09-18,BBDC3,1,15.79,-0.014972
2026-09-18,BBDC4,1,17.99,-0.008815
2026-09-18,BBSE3,1,40.86,0.011136
2026-09-18,BEEF3,1,3.98,0.044619
2026-09-18,BOVA11,1,182.47,-0.004419
2026-09-18,BPAC11,1,61.4,0.004253
2026-09-18,BRAP4,0,21.2,-0.007491
2026-09-18,BRAV3,0,17.35,-0.009703
2026-09-18,BRSR6,1,14.87,-0.015884
2026-09-18,CEAB3,0,8.94,0.005624
2026-09-18,CMIN3,0,5.46,-0.04878
2026-09-18,COGN3,1,2.26,-0.0131
2026-09-18,CPLE3,1,15.99,-0.007449
2026-09-18,CSAN3,0,3.65,-0.00545
2026-09-18,CSMG3,0,56.276,0.008204
2026-09-18,CSNA3,1,5.85,-0.064
2026-09-18,CVCB3,0,1.39,-0.021127
2026-09-18,CXSE3,1,20.64,0.004868
2026-09-18,CYRE3,1,26.67,0.038551
2026-09-18,DIRR3,0,10.05,-0.001986
2026-09-18,ECOR3,1,8.27,0.008537
2026-09-18,EGIE3,1,30.39,-0.015868
2026-09-18,EMBJ3,1,96.8667,0.015375
2026-09-18,ENEV3,1,27.13,-0.015602
2026-09-18,ENGI11,1,52.08,-0.000576
2026-09-18,EQTL3,1,39.57,0.010212
2026-09-18,EZTC3,1,13.38,0.033205
2026-09-18,FLRY3,1,21.38,-0.003263
2026-09-18,GMAT3,1,4.91,-0.004057
2026-09-18,GRND3,1,3.67,0.005479
2026-09-18,HAPV3,0,6.21,-0.028169
2026-09-18,HYPE3,1,23.8,0.008902
2026-09-18,IGTI11,1,26.22,0.02542
2026-09-18,IRBR3,1,62.0,0.016727
2026-09-18,ITSA4,1,14.03,-0.00988
2026-09-18,ITUB3,1,46.37,-0.008764
2026-09-18,ITUB4,1,42.33,-0.005871
2026-09-18,JHSF3,1,11.4,0.006178
2026-09-18,KLBN11,1,19.14,-0.024962
2026-09-18,MBRF3,1,16.85,0.010798
2026-09-18,MGLU3,1,5.85,0.010363
2026-09-18,MOVI3,1,7.89,-0.014981
2026-09-18,MRVE3,1,5.23,-0.036832
2026-09-18,MULT3,1,30.65,0.034774
2026-09-18,ORVR3,0,16.89,-0.001773
2026-09-18,PETR4,1,48.5,-0.002263
2026-09-18,POMO4,0,4.28,-0.004651
2026-09-18,PSSA3,0,49.11,-0.006273
2026-09-18,QUAL3,1,1.65,-0.011976
2026-09-18,RAIL3,1,14.97,0.002008
2026-09-18,RAIZ4,0,0.26,-0.037037
2026-09-18,RAPT4,1,4.93,-0.012024
2026-09-18,RDOR3,1,37.23,0.002693
2026-09-18,RECV3,1,11.02,-0.017825
2026-09-18,RENT3,0,36.2,-0.013624
2026-09-18,ROXO34,0,11.71,-0.011814
2026-09-18,SBSP3,0,27.31,0.010359
2026-09-18,SIMH3,1,7.63,0.02969
2026-09-18,SLCE3,1,17.68,-0.01559
2026-09-18,SMAL11,1,109.69,0.0
2026-09-18,SMFT3,0,17.0,0.004135
2026-09-18,SUZB3,1,47.99,0.012447
2026-09-18,TAEE11,1,41.91,0.00988
2026-09-18,TIMS3,0,19.46,-0.001027
2026-09-18,TOTS3,1,34.3,-0.010101
2026-09-18,USIM5,0,6.9,-0.026798
2026-09-18,VALE3,0,73.37,-0.0153
2026-09-18,VAMO3,1,3.45,0.029851
2026-09-18,VBBR3,1,39.2224,0.005326
2026-09-18,VIVA3,1,22.58,0.008486
2026-09-18,VIVT3,0,30.95,0.001618
2026-09-18,WEGE3,1,51.6728,0.013704
2026-09-18,WIZC3,0,8.04,0.017722
2026-09-18,XPBR31,1,102.46,-0.010526
2026-09-18,YDUQ3,1,10.6,0.018252
